offer_id,skill_id
73,1
74,1
75,1
76,1
86,1
87,1
88,1
93,1
465,1
474,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
500,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
529,1
530,1
531,1
532,1
535,1
536,1
603,1
635,1
640,1
676,1
678,1
693,1
721,1
759,1
827,1
845,1
848,1
849,1
852,1
864,1
963,1
964,1
988,1
309,2
451,2
464,2
465,2
474,2
530,2
603,2
614,2
635,2
674,2
693,2
702,2
709,2
714,2
845,2
848,2
849,2
852,2
928,2
946,2
121,3
142,3
157,3
169,3
313,3
334,3
482,3
502,3
591,3
757,3
974,3
1041,3
383,4
396,4
407,4
415,4
441,4
451,4
463,4
464,4
465,4
471,4
472,4
670,4
721,4
107,5
114,5
131,5
140,5
143,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
184,5
192,5
193,5
194,5
195,5
196,5
213,5
214,5
422,5
423,5
499,5
523,5
524,5
584,5
726,5
728,5
729,5
730,5
732,5
733,5
734,5
735,5
736,5
737,5
739,5
740,5
741,5
742,5
743,5
744,5
745,5
746,5
748,5
749,5
750,5
751,5
752,5
753,5
754,5
755,5
757,5
758,5
759,5
760,5
761,5
762,5
763,5
764,5
766,5
768,5
770,5
771,5
774,5
775,5
777,5
780,5
781,5
783,5
784,5
785,5
786,5
787,5
788,5
789,5
791,5
792,5
793,5
794,5
795,5
796,5
797,5
798,5
799,5
802,5
806,5
808,5
819,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,5
840,5
846,5
858,5
860,5
861,5
864,5
866,5
868,5
873,5
875,5
892,5
893,5
903,5
906,5
909,5
911,5
920,5
921,5
923,5
991,5
1004,5
1007,5
1020,5
65,6
121,6
142,6
157,6
169,6
210,6
211,6
304,6
317,6
322,6
323,6
325,6
328,6
331,6
334,6
335,6
339,6
343,6
348,6
353,6
361,6
369,6
370,6
375,6
376,6
377,6
378,6
383,6
386,6
390,6
391,6
393,6
398,6
403,6
413,6
415,6
425,6
433,6
442,6
445,6
447,6
451,6
458,6
467,6
468,6
482,6
492,6
495,6
498,6
511,6
523,6
524,6
529,6
538,6
540,6
542,6
543,6
554,6
559,6
564,6
591,6
598,6
607,6
620,6
632,6
633,6
635,6
642,6
644,6
660,6
665,6
675,6
680,6
684,6
693,6
705,6
706,6
710,6
713,6
719,6
720,6
747,6
752,6
753,6
756,6
758,6
761,6
776,6
777,6
780,6
784,6
805,6
807,6
818,6
821,6
822,6
827,6
830,6
832,6
837,6
839,6
841,6
842,6
845,6
848,6
849,6
850,6
852,6
857,6
858,6
860,6
862,6
865,6
867,6
882,6
894,6
896,6
897,6
905,6
907,6
912,6
918,6
919,6
922,6
924,6
925,6
926,6
933,6
934,6
935,6
940,6
941,6
942,6
947,6
953,6
954,6
962,6
977,6
980,6
981,6
985,6
991,6
995,6
1015,6
1021,6
1045,6
1055,6
1063,6
1065,6
1071,6
1082,6
1084,6
1092,6
1095,6
1103,6
1105,6
1108,6
1110,6
1120,6
1121,6
1124,6
411,7
418,7
532,7
536,7
640,7
648,7
651,7
652,7
661,7
672,7
682,7
683,7
685,7
686,7
817,7
831,7
851,7
957,7
958,7
1078,7
1079,7
74,8
86,8
93,8
108,8
137,8
150,8
291,8
340,8
379,8
383,8
417,8
449,8
451,8
465,8
473,8
474,8
504,8
505,8
587,8
630,8
646,8
654,8
693,8
695,8
709,8
817,8
853,8
946,8
971,8
1002,8
1026,8
1027,8
1040,8
1084,8
474,9
483,9
500,9
964,9
1084,9
484,10
635,10
845,10
848,10
849,10
852,10
971,10
1002,10
1040,10
474,11
586,11
684,11
693,11
702,11
714,11
768,12
829,12
272,13
484,13
488,13
497,13
635,13
731,13
845,13
848,13
849,13
852,13
953,13
963,13
969,13
971,13
979,13
984,13
988,13
1002,13
1008,13
1040,13
1047,13
1051,13
1055,13
1073,13
1075,13
1077,13
1086,13
1108,13
1119,13
1120,13
483,14
500,14
530,14
964,14
338,15
345,15
408,15
434,15
462,15
464,15
465,15
474,15
488,15
496,15
497,15
501,15
507,15
512,15
526,15
527,15
528,15
546,15
551,15
554,15
557,15
569,15
570,15
573,15
586,15
592,15
597,15
599,15
638,15
646,15
699,15
726,15
749,15
750,15
754,15
755,15
950,15
951,15
953,15
983,15
997,15
1008,15
1019,15
1038,15
1043,15
1051,15
1054,15
1073,15
474,16
496,16
1017,16
1084,16
1127,16
410,17
4,18
5,18
8,18
10,18
11,18
12,18
13,18
14,18
16,18
18,18
19,18
20,18
21,18
22,18
23,18
24,18
25,18
26,18
27,18
28,18
30,18
31,18
33,18
35,18
36,18
38,18
39,18
41,18
42,18
43,18
44,18
45,18
46,18
47,18
48,18
51,18
53,18
54,18
56,18
57,18
58,18
59,18
60,18
61,18
62,18
63,18
64,18
65,18
66,18
67,18
68,18
69,18
70,18
71,18
72,18
73,18
74,18
75,18
76,18
77,18
78,18
79,18
80,18
81,18
82,18
83,18
84,18
85,18
86,18
87,18
88,18
89,18
90,18
91,18
92,18
93,18
94,18
95,18
96,18
97,18
98,18
99,18
100,18
101,18
102,18
103,18
104,18
105,18
106,18
107,18
108,18
109,18
110,18
111,18
112,18
113,18
114,18
115,18
116,18
117,18
118,18
119,18
120,18
121,18
122,18
123,18
124,18
125,18
126,18
127,18
128,18
129,18
130,18
131,18
132,18
133,18
134,18
135,18
136,18
137,18
138,18
139,18
140,18
141,18
142,18
143,18
144,18
145,18
146,18
147,18
148,18
149,18
150,18
151,18
152,18
153,18
154,18
155,18
156,18
157,18
158,18
159,18
160,18
161,18
162,18
163,18
164,18
165,18
166,18
167,18
168,18
169,18
170,18
171,18
172,18
173,18
174,18
175,18
176,18
177,18
178,18
179,18
180,18
181,18
182,18
183,18
184,18
185,18
186,18
187,18
188,18
189,18
190,18
191,18
192,18
193,18
194,18
195,18
196,18
197,18
198,18
199,18
200,18
201,18
202,18
203,18
204,18
205,18
206,18
207,18
208,18
209,18
210,18
211,18
212,18
213,18
214,18
215,18
216,18
217,18
218,18
219,18
220,18
221,18
222,18
223,18
224,18
225,18
226,18
227,18
228,18
230,18
231,18
232,18
234,18
235,18
236,18
237,18
238,18
239,18
240,18
241,18
242,18
243,18
244,18
245,18
246,18
247,18
248,18
249,18
250,18
251,18
252,18
253,18
254,18
255,18
256,18
257,18
258,18
259,18
260,18
261,18
262,18
263,18
264,18
265,18
266,18
267,18
268,18
269,18
270,18
271,18
272,18
273,18
274,18
275,18
276,18
277,18
278,18
279,18
280,18
281,18
282,18
283,18
284,18
285,18
286,18
287,18
288,18
289,18
290,18
291,18
292,18
293,18
294,18
295,18
296,18
297,18
298,18
299,18
300,18
301,18
302,18
303,18
304,18
305,18
306,18
307,18
308,18
309,18
310,18
311,18
312,18
313,18
314,18
315,18
316,18
317,18
318,18
319,18
320,18
321,18
322,18
323,18
324,18
325,18
326,18
327,18
328,18
329,18
330,18
331,18
332,18
333,18
334,18
335,18
336,18
337,18
338,18
339,18
340,18
341,18
342,18
343,18
344,18
345,18
346,18
347,18
348,18
349,18
350,18
351,18
352,18
353,18
354,18
355,18
356,18
357,18
358,18
359,18
360,18
361,18
362,18
363,18
364,18
365,18
366,18
367,18
368,18
369,18
370,18
371,18
372,18
373,18
374,18
375,18
376,18
377,18
378,18
379,18
380,18
381,18
382,18
383,18
384,18
385,18
386,18
387,18
388,18
389,18
390,18
391,18
392,18
393,18
394,18
395,18
396,18
397,18
398,18
399,18
400,18
401,18
402,18
403,18
404,18
405,18
406,18
407,18
408,18
409,18
410,18
411,18
412,18
413,18
414,18
415,18
416,18
417,18
418,18
419,18
420,18
421,18
422,18
423,18
424,18
425,18
426,18
427,18
428,18
429,18
430,18
431,18
432,18
433,18
434,18
435,18
436,18
437,18
438,18
439,18
440,18
441,18
442,18
443,18
444,18
445,18
446,18
447,18
448,18
449,18
450,18
451,18
452,18
453,18
454,18
455,18
456,18
457,18
458,18
459,18
460,18
461,18
462,18
463,18
464,18
465,18
466,18
467,18
468,18
469,18
470,18
471,18
472,18
473,18
474,18
475,18
476,18
477,18
478,18
479,18
480,18
481,18
482,18
483,18
484,18
485,18
486,18
487,18
488,18
489,18
490,18
491,18
492,18
493,18
494,18
495,18
496,18
497,18
498,18
499,18
500,18
501,18
502,18
503,18
504,18
505,18
506,18
507,18
508,18
509,18
510,18
511,18
512,18
513,18
514,18
515,18
516,18
517,18
518,18
519,18
520,18
521,18
522,18
523,18
524,18
525,18
526,18
527,18
528,18
529,18
530,18
531,18
532,18
533,18
534,18
535,18
536,18
537,18
538,18
539,18
540,18
541,18
542,18
543,18
544,18
545,18
546,18
547,18
548,18
549,18
550,18
551,18
552,18
553,18
554,18
555,18
556,18
557,18
558,18
559,18
560,18
561,18
562,18
563,18
564,18
565,18
566,18
567,18
568,18
569,18
570,18
571,18
572,18
573,18
574,18
575,18
576,18
577,18
578,18
579,18
580,18
581,18
582,18
583,18
584,18
585,18
586,18
587,18
588,18
589,18
590,18
591,18
592,18
593,18
594,18
595,18
596,18
597,18
598,18
599,18
600,18
601,18
602,18
603,18
604,18
605,18
606,18
607,18
608,18
609,18
610,18
611,18
612,18
613,18
614,18
615,18
616,18
617,18
618,18
619,18
620,18
621,18
622,18
623,18
624,18
625,18
626,18
627,18
628,18
629,18
630,18
631,18
632,18
633,18
634,18
635,18
636,18
637,18
638,18
639,18
640,18
641,18
642,18
643,18
644,18
645,18
646,18
647,18
648,18
649,18
650,18
651,18
652,18
653,18
654,18
655,18
656,18
657,18
658,18
659,18
660,18
661,18
662,18
663,18
664,18
665,18
666,18
667,18
668,18
669,18
670,18
671,18
672,18
673,18
674,18
675,18
676,18
677,18
678,18
679,18
680,18
681,18
682,18
683,18
684,18
