company_id,company
208,Allianz Digital Health GmbH
209,Ascent Digital Services DE GmbH
210,OG3 Holding GmbH
211,Guldberg
212,Actana Consulting Services GmbH
213,Usercentrics
214,MCG Memmingen GmbH
215,MCG Memmingen
216,Slash.digital GmbH
217,zeb
218,Smart Future Campus GmbH
219,kemb GmbH
220,Peter Park System GmbH
221,Processand
222,Peter Park
223,Peter Park System
224,Skalar
225,Xempus Deutschland GmbH
226,Air Apps
227,Google
228,Instaffo GmbH
229,ALL IN GROUP GmbH 
230,ISR Information Products AG
231,PEAC  GmbH
232,NECT
233,Freelance Partner
234,SThree Germany
235,iVentureGroup GmbH
236,Seier Holding GmbH & Co. KG
237,exmox
238,exmox GmbH
239,MMC
240,1Komma5°
241,DOMICIL Senioren-Residenzen Hamburg SE
242,The Information Lab Deutschland GmbH
243,The Information Lab
244,Sopra-Steria
245,1Komma5° GmbH
246,Mersztein2
247,Prodware Group
248,Hamburger Energienetze GmbH
249,vhh.mobility
250,Eraneos
251,Eraneos Germany GmbH
252,Calumet Photo Video
253,LichtBlick SE Intranet
254,Airbus Operations GmbH
255,Airbus
256,accantec group
257,suena GmbH
258,adesso SE
259,Nordex
260,Donner & Reuschel AG
261,EVIDENT Europe GmbH
262,Zeal Network
263,slp Holding
264,Union Investment
265,Emma
266,ZweiDigital GmbH
267,Julius Blum GmbH
268,SPIE Germany Switzerland Austria
269,Dateio
270,Infosys Consulting - Europe
271,Siemens
272,Hilton
273,Allianz Global Investors GmbH
274,Capco - The Capital Markets Company
275,Capco
276,Redcare Pharmacy
277,Konzernzentrale
278,Faszination
279,SPIE Efficient Facilities GmbH
280,jobvalley
281,MeinAuto GmbH
282,MeinAuto
283,Kaufland e-commerce Services GmbH & Co. KG
284,Eurowings
285,Mercor
286,Anyone AI
287,eClear AG
288,asgoodasnew electronics
289,dfv Mediengruppe
290,Darwin Recruitment
291,Source Group International
292,Synthflow AI
293,Engelhart
294,WeMatch.
295,Topoteretes UG 
296,dive solutions GmbH
297,OKAPI:Orbits GmbH
298,Preisenergie
299,Animore
300,Wemolo
301,AssetMetrix GmbH
302,Nvidia
303,Agile Robots SE
304,realworld one GmbH & Co. KG
305,realworld-one
306,autonomous-teaming
307,Avatr
308,AVATR Global Design Center
309,plusYOU
310,Leopold Advisors
311,Mindpeak
312,flound.
313,Amadeus Fire AG
314,Vertec AG
315,Global Market Solutions Germany
316,AMMGroup
317,Talents2Germany GmbH
318,spotixx GmbH
319,Next Kraftwerke
320,Talent Tree
321,areto.
322,REWE digital
323,OverTake GmbH
324,Tieto Germany GmbH
325,Robert-Koch-Institut
326,Huzzle
